image_id,class_name,x1,y1,x2,y2,source,review_status,notes
45min_after_washout_frame_015,early_bud_pair,13.00,157.00,59.00,193.00,manual_review_app,reviewed,
45min_after_washout_frame_015,early_bud_pair,67.00,173.00,120.00,204.00,manual_review_app,reviewed,
45min_after_washout_frame_015,single_cell,150.00,77.00,201.00,112.00,manual_review_app,reviewed,
45min_after_washout_frame_015,early_bud_pair,180.00,164.00,219.00,192.00,manual_review_app,reviewed,
45min_after_washout_frame_015,early_bud_pair,155.00,168.00,195.00,204.00,manual_review_app,reviewed,
45min_after_washout_frame_015,early_bud_pair,148.00,123.00,170.00,175.00,manual_review_app,reviewed,
45min_after_washout_frame_019,single_cell,47.00,186.00,94.00,209.00,manual_review_app,reviewed,
45min_after_washout_frame_019,early_bud_pair,72.00,133.00,116.00,200.00,manual_review_app,reviewed,
45min_after_washout_frame_019,early_bud_pair,134.00,53.00,162.00,100.00,manual_review_app,reviewed,
45min_after_washout_frame_019,mother_bud_pair,92.00,94.00,182.00,140.00,manual_review_app,reviewed,
45min_after_washout_frame_019,mother_bud_pair,97.00,22.00,149.00,90.00,manual_review_app,reviewed,
45min_after_washout_frame_019,early_bud_pair,99.00,210.00,138.00,246.00,manual_review_app,reviewed,
45min_after_washout_frame_005,mother_bud_pair,6.00,22.00,89.00,67.00,manual_review_app,reviewed,
45min_after_washout_frame_005,single_cell,86.00,116.00,124.00,154.00,manual_review_app,reviewed,
45min_after_washout_frame_005,single_cell,97.00,51.00,135.00,89.00,manual_review_app,reviewed,
45min_after_washout_frame_005,single_cell,121.00,79.00,159.00,110.00,manual_review_app,reviewed,
45min_after_washout_frame_005,early_bud_pair,134.00,58.00,183.00,88.00,manual_review_app,reviewed,
45min_after_washout_frame_005,early_bud_pair,118.00,104.00,151.00,153.00,manual_review_app,reviewed,
45min_after_washout_frame_005,early_bud_pair,137.00,3.00,182.00,67.00,manual_review_app,reviewed,
45min_after_washout_frame_005,early_bud_pair,136.00,133.00,174.00,191.00,manual_review_app,reviewed,
