image_id,match_type,rule_id,manual_id,rule_class,manual_class,iou,rule_box,manual_box,rule_area_px2,manual_area_px2,area_ratio_rule_over_manual
45min_after_washout_frame_015,same_class_iou_match,rule_13,manual_2,early_bud_pair,early_bud_pair,0.8118,"9.00,154.00,60.00,194.00","13.00,157.00,59.00,193.00",2040.00,1656.00,1.2319
45min_after_washout_frame_015,same_class_iou_match,rule_12,manual_25,early_bud_pair,early_bud_pair,0.6488,"165.00,116.00,226.00,168.00","173.00,107.00,223.00,163.00",3172.00,2800.00,1.1329
45min_after_washout_frame_019,same_class_iou_match,rule_19,manual_9,early_bud_pair,early_bud_pair,0.8684,"74.00,136.00,114.00,200.00","72.00,133.00,116.00,200.00",2560.00,2948.00,0.8684
45min_after_washout_frame_019,same_class_iou_match,rule_17,manual_12,mother_bud_pair,mother_bud_pair,0.7260,"96.00,24.00,163.00,93.00","97.00,22.00,149.00,90.00",4623.00,3536.00,1.3074
45min_after_washout_frame_005,same_class_iou_match,rule_7,manual_21,early_bud_pair,early_bud_pair,0.6968,"128.00,133.00,169.00,189.00","136.00,133.00,174.00,191.00",2296.00,2204.00,1.0417
45min_after_washout_frame_000,same_class_iou_match,rule_2,manual_29,early_bud_pair,early_bud_pair,0.6316,"95.00,90.00,145.00,154.00","81.00,99.00,145.00,160.00",3200.00,3904.00,0.8197
60min_after_washout_frame_007,same_class_iou_match,rule_34,manual_44,mother_bud_pair,mother_bud_pair,0.6110,"168.00,162.00,230.00,231.00","182.00,167.00,231.00,245.00",4278.00,3822.00,1.1193
60min_after_washout_frame_007,same_class_iou_match,rule_35,manual_41,mother_bud_pair,mother_bud_pair,0.5105,"115.00,117.00,170.00,182.00","113.00,143.00,179.00,185.00",3575.00,2772.00,1.2897
60min_after_washout_frame_006,same_class_iou_match,rule_31,manual_45,early_bud_pair,early_bud_pair,0.8013,"220.00,188.00,255.00,248.00","217.00,190.00,253.00,245.00",2100.00,1980.00,1.0606
60min_after_washout_frame_006,same_class_iou_match,rule_26,manual_52,mother_bud_pair,mother_bud_pair,0.5666,"69.00,68.00,147.00,126.00","68.00,90.00,158.00,126.00",4524.00,3240.00,1.3963
60min_after_washout_frame_002,same_class_iou_match,rule_24,manual_60,mother_bud_pair,mother_bud_pair,0.8463,"176.00,220.00,255.00,255.00","177.00,223.00,255.00,253.00",2765.00,2340.00,1.1816
60min_after_washout_frame_002,same_class_iou_match,rule_23,manual_55,mother_bud_pair,mother_bud_pair,0.7191,"62.00,87.00,144.00,145.00","54.00,91.00,139.00,139.00",4756.00,4080.00,1.1657
60min_after_washout_frame_002,same_class_iou_match,rule_20,manual_54,mother_bud_pair,mother_bud_pair,0.5040,"93.00,117.00,146.00,179.00","72.00,137.00,148.00,177.00",3286.00,3040.00,1.0809
85min_after_washout_frame_011,same_class_iou_match,rule_57,manual_65,single_cell,single_cell,0.7675,"193.00,50.00,234.00,86.00","187.00,48.00,233.00,84.00",1476.00,1656.00,0.8913
85min_after_washout_frame_011,same_class_iou_match,rule_55,manual_67,early_bud_pair,early_bud_pair,0.6186,"147.00,83.00,194.00,127.00","145.00,90.00,187.00,123.00",2068.00,1386.00,1.4921
85min_after_washout_frame_014,same_class_iou_match,rule_62,manual_77,mother_bud_pair,mother_bud_pair,0.6384,"221.00,105.00,255.00,184.00","228.00,101.00,252.00,179.00",2686.00,1872.00,1.4348
85min_after_washout_frame_021,same_class_iou_match,rule_68,manual_79,mother_bud_pair,mother_bud_pair,0.8082,"159.00,138.00,242.00,196.00","164.00,137.00,240.00,190.00",4814.00,4028.00,1.1951
85min_after_washout_frame_007,same_class_iou_match,rule_48,manual_83,early_bud_pair,early_bud_pair,0.8260,"124.00,143.00,195.00,180.00","125.00,149.00,195.00,180.00",2627.00,2170.00,1.2106
Colorado+htb2-GFP_frame_009,same_class_iou_match,rule_83,manual_130,mother_bud_pair,mother_bud_pair,0.6785,"178.00,206.00,255.00,247.00","180.00,212.00,243.00,246.00",3157.00,2142.00,1.4739
Colorado+htb2-GFP_frame_009,same_class_iou_match,rule_89,manual_125,early_bud_pair,early_bud_pair,0.6063,"145.00,108.00,186.00,157.00","150.00,112.00,179.00,154.00",2009.00,1218.00,1.6494
Colorado+htb2-GFP_frame_009,same_class_iou_match,rule_90,manual_132,early_bud_pair,early_bud_pair,0.5571,"47.00,0.00,93.00,48.00","57.00,0.00,87.00,41.00",2208.00,1230.00,1.7951
