label_id,image_id,class_name,x1,y1,x2,y2,source,review_status,notes
1,45min_after_washout_frame_012,single_cell,206.00,187.00,240.00,226.00,manual_review_app,reviewed,
2,45min_after_washout_frame_012,single_cell,46.00,182.00,86.00,213.00,manual_review_app,reviewed,
3,45min_after_washout_frame_012,single_cell,57.00,51.00,97.00,81.00,manual_review_app,reviewed,
4,45min_after_washout_frame_012,early_bud_pair,87.00,118.00,129.00,156.00,manual_review_app,reviewed,
5,45min_after_washout_frame_012,single_cell,189.00,74.00,229.00,112.00,manual_review_app,reviewed,
6,45min_after_washout_frame_012,mother_bud_pair,72.00,30.00,135.00,73.00,manual_review_app,reviewed,
7,45min_after_washout_frame_012,mother_bud_pair,177.00,17.00,227.00,96.00,manual_review_app,reviewed,
8,45min_after_washout_frame_012,early_bud_pair,42.00,95.00,117.00,134.00,manual_review_app,reviewed,
9,45min_after_washout_frame_012,early_bud_pair,69.00,67.00,123.00,99.00,manual_review_app,reviewed,
10,45min_after_washout_frame_012,early_bud_pair,160.00,88.00,213.00,132.00,manual_review_app,reviewed,
11,45min_after_washout_frame_013,single_cell,25.00,100.00,58.00,134.00,manual_review_app,reviewed,
12,45min_after_washout_frame_013,single_cell,109.00,64.00,145.00,97.00,manual_review_app,reviewed,
13,45min_after_washout_frame_013,early_bud_pair,13.00,63.00,86.00,110.00,manual_review_app,reviewed,
14,45min_after_washout_frame_013,early_bud_pair,147.00,104.00,204.00,159.00,manual_review_app,reviewed,
15,45min_after_washout_frame_013,early_bud_pair,131.00,53.00,182.00,105.00,manual_review_app,reviewed,
16,45min_after_washout_frame_013,early_bud_pair,87.00,83.00,144.00,123.00,manual_review_app,reviewed,
17,45min_after_washout_frame_013,early_bud_pair,116.00,110.00,170.00,183.00,manual_review_app,reviewed,
18,45min_after_washout_frame_016,early_bud_pair,81.00,85.00,146.00,118.00,manual_review_app,reviewed,
19,45min_after_washout_frame_016,early_bud_pair,72.00,119.00,159.00,155.00,manual_review_app,reviewed,
20,45min_after_washout_frame_016,early_bud_pair,117.00,40.00,191.00,107.00,manual_review_app,reviewed,
21,45min_after_washout_frame_008,early_bud_pair,86.00,26.00,136.00,87.00,manual_review_app,reviewed,
22,45min_after_washout_frame_008,early_bud_pair,82.00,75.00,164.00,125.00,manual_review_app,reviewed,
23,45min_after_washout_frame_008,early_bud_pair,105.00,104.00,167.00,176.00,manual_review_app,reviewed,
24,45min_after_washout_frame_008,early_bud_pair,126.00,141.00,187.00,208.00,manual_review_app,reviewed,
25,45min_after_washout_frame_008,early_bud_pair,177.00,146.00,224.00,205.00,manual_review_app,reviewed,
26,45min_after_washout_frame_008,single_cell,161.00,134.00,196.00,173.00,manual_review_app,reviewed,
27,60min_after_washout_frame_004,single_cell,65.00,110.00,99.00,143.00,manual_review_app,reviewed,
28,60min_after_washout_frame_004,single_cell,15.00,85.00,44.00,116.00,manual_review_app,reviewed,
29,60min_after_washout_frame_004,early_bud_pair,119.00,39.00,186.00,77.00,manual_review_app,reviewed,
30,60min_after_washout_frame_004,early_bud_pair,42.00,47.00,104.00,94.00,manual_review_app,reviewed,
31,60min_after_washout_frame_004,early_bud_pair,145.00,125.00,182.00,159.00,manual_review_app,reviewed,
32,60min_after_washout_frame_004,early_bud_pair,1.00,105.00,69.00,150.00,manual_review_app,reviewed,
33,60min_after_washout_frame_004,early_bud_pair,83.00,95.00,126.00,147.00,manual_review_app,reviewed,
34,60min_after_washout_frame_004,early_bud_pair,107.00,103.00,155.00,154.00,manual_review_app,reviewed,
35,60min_after_washout_frame_004,mother_bud_pair,93.00,44.00,158.00,100.00,manual_review_app,reviewed,
36,60min_after_washout_frame_004,mother_bud_pair,124.00,150.00,210.00,194.00,manual_review_app,reviewed,
37,60min_after_washout_frame_003,mother_bud_pair,61.00,7.00,131.00,45.00,manual_review_app,reviewed,
38,60min_after_washout_frame_003,mother_bud_pair,105.00,43.00,168.00,70.00,manual_review_app,reviewed,
39,60min_after_washout_frame_003,mother_bud_pair,82.00,67.00,163.00,102.00,manual_review_app,reviewed,
40,60min_after_washout_frame_003,mother_bud_pair,39.00,105.00,134.00,152.00,manual_review_app,reviewed,
41,60min_after_washout_frame_003,single_cell,112.00,129.00,154.00,160.00,manual_review_app,reviewed,
42,60min_after_washout_frame_003,single_cell,169.00,131.00,210.00,173.00,manual_review_app,reviewed,
43,60min_after_washout_frame_003,early_bud_pair,220.00,1.00,254.00,59.00,manual_review_app,reviewed,
44,60min_after_washout_frame_012,early_bud_pair,47.00,31.00,78.00,103.00,manual_review_app,reviewed,
45,60min_after_washout_frame_012,early_bud_pair,78.00,89.00,127.00,133.00,manual_review_app,reviewed,
46,60min_after_washout_frame_012,early_bud_pair,218.00,53.00,252.00,106.00,manual_review_app,reviewed,
47,60min_after_washout_frame_012,single_cell,112.00,88.00,147.00,127.00,manual_review_app,reviewed,
48,60min_after_washout_frame_012,mother_bud_pair,15.00,115.00,95.00,167.00,manual_review_app,reviewed,
49,60min_after_washout_frame_012,mother_bud_pair,135.00,90.00,215.00,134.00,manual_review_app,reviewed,
50,60min_after_washout_frame_012,mother_bud_pair,103.00,125.00,198.00,162.00,manual_review_app,reviewed,
51,60min_after_washout_frame_000,mother_bud_pair,67.00,127.00,147.00,175.00,manual_review_app,reviewed,
52,60min_after_washout_frame_000,single_cell,94.00,19.00,135.00,67.00,manual_review_app,reviewed,
53,60min_after_washout_frame_000,single_cell,128.00,66.00,169.00,99.00,manual_review_app,reviewed,
54,60min_after_washout_frame_000,early_bud_pair,117.00,26.00,188.00,76.00,manual_review_app,reviewed,
55,60min_after_washout_frame_000,early_bud_pair,66.00,48.00,130.00,109.00,manual_review_app,reviewed,
56,60min_after_washout_frame_000,early_bud_pair,65.00,96.00,120.00,139.00,manual_review_app,reviewed,
57,85min_after_washout_frame_005,single_cell,25.00,43.00,81.00,96.00,manual_review_app,reject,
58,85min_after_washout_frame_005,single_cell,25.00,48.00,76.00,95.00,manual_review_app,reviewed,
59,85min_after_washout_frame_005,mother_bud_pair,77.00,17.00,118.00,103.00,manual_review_app,reviewed,
60,85min_after_washout_frame_005,mother_bud_pair,137.00,44.00,224.00,136.00,manual_review_app,reviewed,
61,85min_after_washout_frame_005,mother_bud_pair,92.00,154.00,176.00,202.00,manual_review_app,reviewed,
62,85min_after_washout_frame_022,early_bud_pair,85.00,196.00,143.00,245.00,manual_review_app,reviewed,
63,85min_after_washout_frame_022,early_bud_pair,129.00,206.00,213.00,254.00,manual_review_app,reviewed,
64,85min_after_washout_frame_022,mother_bud_pair,105.00,82.00,201.00,131.00,manual_review_app,reviewed,
