image_id,class_name,x1,y1,x2,y2,source,review_status,notes
45min_after_washout_frame_012,single_cell,206.00,187.00,240.00,226.00,manual_review_app,reviewed,
45min_after_washout_frame_012,single_cell,46.00,182.00,86.00,213.00,manual_review_app,reviewed,
45min_after_washout_frame_012,single_cell,57.00,51.00,97.00,81.00,manual_review_app,reviewed,
45min_after_washout_frame_012,early_bud_pair,87.00,118.00,129.00,156.00,manual_review_app,reviewed,
45min_after_washout_frame_012,single_cell,189.00,74.00,229.00,112.00,manual_review_app,reviewed,
45min_after_washout_frame_012,mother_bud_pair,72.00,30.00,135.00,73.00,manual_review_app,reviewed,
45min_after_washout_frame_012,mother_bud_pair,177.00,17.00,227.00,96.00,manual_review_app,reviewed,
45min_after_washout_frame_012,early_bud_pair,42.00,95.00,117.00,134.00,manual_review_app,reviewed,
45min_after_washout_frame_012,early_bud_pair,69.00,67.00,123.00,99.00,manual_review_app,reviewed,
45min_after_washout_frame_012,early_bud_pair,160.00,88.00,213.00,132.00,manual_review_app,reviewed,
45min_after_washout_frame_013,single_cell,25.00,100.00,58.00,134.00,manual_review_app,reviewed,
45min_after_washout_frame_013,single_cell,109.00,64.00,145.00,97.00,manual_review_app,reviewed,
45min_after_washout_frame_013,early_bud_pair,13.00,63.00,86.00,110.00,manual_review_app,reviewed,
45min_after_washout_frame_013,early_bud_pair,147.00,104.00,204.00,159.00,manual_review_app,reviewed,
45min_after_washout_frame_013,early_bud_pair,131.00,53.00,182.00,105.00,manual_review_app,reviewed,
45min_after_washout_frame_013,early_bud_pair,87.00,83.00,144.00,123.00,manual_review_app,reviewed,
45min_after_washout_frame_013,early_bud_pair,116.00,110.00,170.00,183.00,manual_review_app,reviewed,
45min_after_washout_frame_016,early_bud_pair,81.00,85.00,146.00,118.00,manual_review_app,reviewed,
45min_after_washout_frame_016,early_bud_pair,72.00,119.00,159.00,155.00,manual_review_app,reviewed,
45min_after_washout_frame_016,early_bud_pair,117.00,40.00,191.00,107.00,manual_review_app,reviewed,
45min_after_washout_frame_008,early_bud_pair,86.00,26.00,136.00,87.00,manual_review_app,reviewed,
45min_after_washout_frame_008,early_bud_pair,82.00,75.00,164.00,125.00,manual_review_app,reviewed,
45min_after_washout_frame_008,early_bud_pair,105.00,104.00,167.00,176.00,manual_review_app,reviewed,
45min_after_washout_frame_008,early_bud_pair,126.00,141.00,187.00,208.00,manual_review_app,reviewed,
45min_after_washout_frame_008,early_bud_pair,177.00,146.00,224.00,205.00,manual_review_app,reviewed,
45min_after_washout_frame_008,single_cell,161.00,134.00,196.00,173.00,manual_review_app,reviewed,
60min_after_washout_frame_004,single_cell,65.00,110.00,99.00,143.00,manual_review_app,reviewed,
60min_after_washout_frame_004,single_cell,15.00,85.00,44.00,116.00,manual_review_app,reviewed,
60min_after_washout_frame_004,early_bud_pair,119.00,39.00,186.00,77.00,manual_review_app,reviewed,
60min_after_washout_frame_004,early_bud_pair,42.00,47.00,104.00,94.00,manual_review_app,reviewed,
60min_after_washout_frame_004,early_bud_pair,145.00,125.00,182.00,159.00,manual_review_app,reviewed,
60min_after_washout_frame_004,early_bud_pair,1.00,105.00,69.00,150.00,manual_review_app,reviewed,
60min_after_washout_frame_004,early_bud_pair,83.00,95.00,126.00,147.00,manual_review_app,reviewed,
60min_after_washout_frame_004,early_bud_pair,107.00,103.00,155.00,154.00,manual_review_app,reviewed,
60min_after_washout_frame_004,mother_bud_pair,93.00,44.00,158.00,100.00,manual_review_app,reviewed,
60min_after_washout_frame_004,mother_bud_pair,124.00,150.00,210.00,194.00,manual_review_app,reviewed,
60min_after_washout_frame_003,mother_bud_pair,61.00,7.00,131.00,45.00,manual_review_app,reviewed,
60min_after_washout_frame_003,mother_bud_pair,105.00,43.00,168.00,70.00,manual_review_app,reviewed,
60min_after_washout_frame_003,mother_bud_pair,82.00,67.00,163.00,102.00,manual_review_app,reviewed,
60min_after_washout_frame_003,mother_bud_pair,39.00,105.00,134.00,152.00,manual_review_app,reviewed,
60min_after_washout_frame_003,single_cell,112.00,129.00,154.00,160.00,manual_review_app,reviewed,
60min_after_washout_frame_003,single_cell,169.00,131.00,210.00,173.00,manual_review_app,reviewed,
60min_after_washout_frame_003,early_bud_pair,220.00,1.00,254.00,59.00,manual_review_app,reviewed,
60min_after_washout_frame_012,early_bud_pair,47.00,31.00,78.00,103.00,manual_review_app,reviewed,
60min_after_washout_frame_012,early_bud_pair,78.00,89.00,127.00,133.00,manual_review_app,reviewed,
60min_after_washout_frame_012,early_bud_pair,218.00,53.00,252.00,106.00,manual_review_app,reviewed,
60min_after_washout_frame_012,single_cell,112.00,88.00,147.00,127.00,manual_review_app,reviewed,
60min_after_washout_frame_012,mother_bud_pair,15.00,115.00,95.00,167.00,manual_review_app,reviewed,
60min_after_washout_frame_012,mother_bud_pair,135.00,90.00,215.00,134.00,manual_review_app,reviewed,
60min_after_washout_frame_012,mother_bud_pair,103.00,125.00,198.00,162.00,manual_review_app,reviewed,
60min_after_washout_frame_000,mother_bud_pair,67.00,127.00,147.00,175.00,manual_review_app,reviewed,
60min_after_washout_frame_000,single_cell,94.00,19.00,135.00,67.00,manual_review_app,reviewed,
60min_after_washout_frame_000,single_cell,128.00,66.00,169.00,99.00,manual_review_app,reviewed,
60min_after_washout_frame_000,early_bud_pair,117.00,26.00,188.00,76.00,manual_review_app,reviewed,
60min_after_washout_frame_000,early_bud_pair,66.00,48.00,130.00,109.00,manual_review_app,reviewed,
60min_after_washout_frame_000,early_bud_pair,65.00,96.00,120.00,139.00,manual_review_app,reviewed,
85min_after_washout_frame_005,single_cell,25.00,48.00,76.00,95.00,manual_review_app,reviewed,
85min_after_washout_frame_005,mother_bud_pair,77.00,17.00,118.00,103.00,manual_review_app,reviewed,
85min_after_washout_frame_005,mother_bud_pair,137.00,44.00,224.00,136.00,manual_review_app,reviewed,
85min_after_washout_frame_005,mother_bud_pair,92.00,154.00,176.00,202.00,manual_review_app,reviewed,
85min_after_washout_frame_022,early_bud_pair,85.00,196.00,143.00,245.00,manual_review_app,reviewed,
85min_after_washout_frame_022,early_bud_pair,129.00,206.00,213.00,254.00,manual_review_app,reviewed,
85min_after_washout_frame_022,mother_bud_pair,105.00,82.00,201.00,131.00,manual_review_app,reviewed,
85min_after_washout_frame_022,mother_bud_pair,107.00,111.00,238.00,162.00,manual_review_app,reviewed,
85min_after_washout_frame_022,early_bud_pair,47.00,33.00,100.00,92.00,manual_review_app,reviewed,
85min_after_washout_frame_022,early_bud_pair,81.00,28.00,151.00,99.00,manual_review_app,reviewed,
85min_after_washout_frame_022,early_bud_pair,11.00,1.00,96.00,54.00,manual_review_app,reviewed,
85min_after_washout_frame_015,mother_bud_pair,57.00,24.00,168.00,76.00,manual_review_app,reviewed,
85min_after_washout_frame_015,mother_bud_pair,71.00,99.00,131.00,187.00,manual_review_app,reviewed,
85min_after_washout_frame_015,early_bud_pair,101.00,142.00,165.00,193.00,manual_review_app,reviewed,
85min_after_washout_frame_015,early_bud_pair,134.00,117.00,185.00,163.00,manual_review_app,reviewed,
85min_after_washout_frame_015,early_bud_pair,100.00,68.00,172.00,126.00,manual_review_app,reviewed,
85min_after_washout_frame_015,mother_bud_pair,142.00,2.00,211.00,88.00,manual_review_app,reviewed,
85min_after_washout_frame_013,mother_bud_pair,128.00,164.00,218.00,203.00,manual_review_app,reviewed,
85min_after_washout_frame_013,mother_bud_pair,108.00,128.00,220.00,176.00,manual_review_app,reviewed,
85min_after_washout_frame_013,early_bud_pair,35.00,24.00,91.00,66.00,manual_review_app,reviewed,
85min_after_washout_frame_013,early_bud_pair,76.00,28.00,131.00,66.00,manual_review_app,reviewed,
85min_after_washout_frame_013,early_bud_pair,10.00,71.00,64.00,123.00,manual_review_app,reviewed,
85min_after_washout_frame_013,early_bud_pair,41.00,78.00,103.00,159.00,manual_review_app,reviewed,
85min_after_washout_frame_013,early_bud_pair,63.00,125.00,132.00,197.00,manual_review_app,reviewed,
85min_after_washout_frame_013,mother_bud_pair,50.00,56.00,134.00,121.00,manual_review_app,reviewed,
Colorado+htb2-GFP_frame_016,mother_bud_pair,189.00,48.00,247.00,106.00,manual_review_app,reviewed,
Colorado+htb2-GFP_frame_016,mother_bud_pair,141.00,59.00,201.00,115.00,manual_review_app,reviewed,
