image_id,comparison_type,rule_id,manual_id,rule_class,manual_class,iou,rule_box,manual_box,rule_area_px2,manual_area_px2,area_ratio_rule_over_manual,notes
45min_after_washout_frame_012,class_mismatch_box_match,rule_7,manual_8,early_bud_pair,mother_bud_pair,0.7954,"175.00,24.00,233.00,96.00","177.00,17.00,227.00,96.00",4176.00,3950.00,1.0572,
45min_after_washout_frame_012,same_class_box_match,rule_5,manual_7,mother_bud_pair,mother_bud_pair,0.6069,"59.00,29.00,134.00,87.00","72.00,30.00,135.00,73.00",4350.00,2709.00,1.6058,
45min_after_washout_frame_012,same_class_box_match,rule_10,manual_11,early_bud_pair,early_bud_pair,0.5552,"165.00,76.00,229.00,132.00","160.00,88.00,213.00,132.00",3584.00,2332.00,1.5369,
45min_after_washout_frame_012,same_class_box_match,rule_9,manual_10,early_bud_pair,early_bud_pair,0.5312,"72.00,56.00,134.00,104.00","69.00,67.00,123.00,99.00",2976.00,1728.00,1.7222,
45min_after_washout_frame_012,rule_only_or_bad_box,rule_6,,mother_bud_pair,,,"71.00,97.00,129.00,160.00",,3654.00,,,No manual box matched this rule box at IoU threshold.
45min_after_washout_frame_012,rule_only_or_bad_box,rule_8,,early_bud_pair,,,"161.00,182.00,217.00,242.00",,3360.00,,,No manual box matched this rule box at IoU threshold.
45min_after_washout_frame_012,manual_only_missed_by_rule,,manual_2,,single_cell,,,"206.00,187.00,240.00,226.00",,1326.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_012,manual_only_missed_by_rule,,manual_3,,single_cell,,,"46.00,182.00,86.00,213.00",,1240.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_012,manual_only_missed_by_rule,,manual_4,,single_cell,,,"57.00,51.00,97.00,81.00",,1200.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_012,manual_only_missed_by_rule,,manual_5,,early_bud_pair,,,"87.00,118.00,129.00,156.00",,1596.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_012,manual_only_missed_by_rule,,manual_6,,single_cell,,,"189.00,74.00,229.00,112.00",,1520.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_012,manual_only_missed_by_rule,,manual_9,,early_bud_pair,,,"42.00,95.00,117.00,134.00",,2925.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_013,same_class_box_match,rule_13,manual_14,early_bud_pair,early_bud_pair,0.8904,"18.00,63.00,83.00,110.00","13.00,63.00,86.00,110.00",3055.00,3431.00,0.8904,
45min_after_washout_frame_013,same_class_box_match,rule_14,manual_15,early_bud_pair,early_bud_pair,0.7780,"142.00,103.00,196.00,159.00","147.00,104.00,204.00,159.00",3024.00,3135.00,0.9646,
45min_after_washout_frame_013,class_mismatch_box_match,rule_12,manual_16,mother_bud_pair,early_bud_pair,0.5384,"111.00,59.00,181.00,115.00","131.00,53.00,182.00,105.00",3920.00,2652.00,1.4781,
45min_after_washout_frame_013,rule_only_or_bad_box,rule_11,,mother_bud_pair,,,"90.00,84.00,163.00,174.00",,6570.00,,,No manual box matched this rule box at IoU threshold.
45min_after_washout_frame_013,rule_only_or_bad_box,rule_15,,early_bud_pair,,,"239.00,0.00,255.00,27.00",,432.00,,,No manual box matched this rule box at IoU threshold.
45min_after_washout_frame_013,manual_only_missed_by_rule,,manual_12,,single_cell,,,"25.00,100.00,58.00,134.00",,1122.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_013,manual_only_missed_by_rule,,manual_13,,single_cell,,,"109.00,64.00,145.00,97.00",,1188.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_013,manual_only_missed_by_rule,,manual_17,,early_bud_pair,,,"87.00,83.00,144.00,123.00",,2280.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_013,manual_only_missed_by_rule,,manual_18,,early_bud_pair,,,"116.00,110.00,170.00,183.00",,3942.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_016,same_class_box_match,rule_18,manual_21,early_bud_pair,early_bud_pair,0.7933,"120.00,48.00,189.00,105.00","117.00,40.00,191.00,107.00",3933.00,4958.00,0.7933,
45min_after_washout_frame_016,rule_only_or_bad_box,rule_16,,mother_bud_pair,,,"79.00,86.00,153.00,157.00",,5254.00,,,No manual box matched this rule box at IoU threshold.
45min_after_washout_frame_016,rule_only_or_bad_box,rule_17,,mother_bud_pair,,,"0.00,0.00,61.00,35.00",,2135.00,,,No manual box matched this rule box at IoU threshold.
45min_after_washout_frame_016,rule_only_or_bad_box,rule_19,,early_bud_pair,,,"0.00,3.00,29.00,52.00",,1421.00,,,No manual box matched this rule box at IoU threshold.
45min_after_washout_frame_016,manual_only_missed_by_rule,,manual_19,,early_bud_pair,,,"81.00,85.00,146.00,118.00",,2145.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_016,manual_only_missed_by_rule,,manual_20,,early_bud_pair,,,"72.00,119.00,159.00,155.00",,3132.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_008,same_class_box_match,rule_3,manual_23,early_bud_pair,early_bud_pair,0.8401,"83.00,78.00,159.00,127.00","82.00,75.00,164.00,125.00",3724.00,4100.00,0.9083,
45min_after_washout_frame_008,same_class_box_match,rule_4,manual_22,early_bud_pair,early_bud_pair,0.8332,"85.00,29.00,132.00,89.00","86.00,26.00,136.00,87.00",2820.00,3050.00,0.9246,
45min_after_washout_frame_008,class_mismatch_box_match,rule_2,manual_24,mother_bud_pair,early_bud_pair,0.6668,"109.00,108.00,174.00,191.00","105.00,104.00,167.00,176.00",5395.00,4464.00,1.2086,
45min_after_washout_frame_008,class_mismatch_box_match,rule_1,manual_26,mother_bud_pair,early_bud_pair,0.5150,"153.00,136.00,220.00,206.00","177.00,146.00,224.00,205.00",4690.00,2773.00,1.6913,
45min_after_washout_frame_008,manual_only_missed_by_rule,,manual_25,,early_bud_pair,,,"126.00,141.00,187.00,208.00",,4087.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_008,manual_only_missed_by_rule,,manual_27,,single_cell,,,"161.00,134.00,196.00,173.00",,1365.00,,No rule box matched this manual box at IoU threshold.
60min_after_washout_frame_004,same_class_box_match,rule_36,manual_33,early_bud_pair,early_bud_pair,0.7763,"0.00,97.00,73.00,151.00","1.00,105.00,69.00,150.00",3942.00,3060.00,1.2882,
60min_after_washout_frame_004,class_mismatch_box_match,rule_31,manual_35,mother_bud_pair,early_bud_pair,0.6048,"115.00,111.00,161.00,157.00","107.00,103.00,155.00,154.00",2116.00,2448.00,0.8644,
60min_after_washout_frame_004,class_mismatch_box_match,rule_37,manual_37,early_bud_pair,mother_bud_pair,0.5990,"127.00,127.00,202.00,194.00","124.00,150.00,210.00,194.00",5025.00,3784.00,1.3280,
60min_after_washout_frame_004,class_mismatch_box_match,rule_32,manual_30,mother_bud_pair,early_bud_pair,0.5462,"121.00,40.00,182.00,103.00","119.00,39.00,186.00,77.00",3843.00,2546.00,1.5094,
60min_after_washout_frame_004,class_mismatch_box_match,rule_33,manual_34,mother_bud_pair,early_bud_pair,0.5357,"85.00,86.00,142.00,154.00","83.00,95.00,126.00,147.00",3876.00,2236.00,1.7335,
60min_after_washout_frame_004,class_mismatch_box_match,rule_38,manual_36,single_cell,mother_bud_pair,0.5190,"87.00,52.00,136.00,101.00","93.00,44.00,158.00,100.00",2401.00,3640.00,0.6596,
60min_after_washout_frame_004,rule_only_or_bad_box,rule_34,,mother_bud_pair,,,"38.00,55.00,110.00,119.00",,4608.00,,,No manual box matched this rule box at IoU threshold.
60min_after_washout_frame_004,rule_only_or_bad_box,rule_35,,mother_bud_pair,,,"153.00,81.00,201.00,136.00",,2640.00,,,No manual box matched this rule box at IoU threshold.
60min_after_washout_frame_004,manual_only_missed_by_rule,,manual_28,,single_cell,,,"65.00,110.00,99.00,143.00",,1122.00,,No rule box matched this manual box at IoU threshold.
60min_after_washout_frame_004,manual_only_missed_by_rule,,manual_29,,single_cell,,,"15.00,85.00,44.00,116.00",,899.00,,No rule box matched this manual box at IoU threshold.
60min_after_washout_frame_004,manual_only_missed_by_rule,,manual_31,,early_bud_pair,,,"42.00,47.00,104.00,94.00",,2914.00,,No rule box matched this manual box at IoU threshold.
60min_after_washout_frame_004,manual_only_missed_by_rule,,manual_32,,early_bud_pair,,,"145.00,125.00,182.00,159.00",,1258.00,,No rule box matched this manual box at IoU threshold.
60min_after_washout_frame_003,same_class_box_match,rule_24,manual_40,mother_bud_pair,mother_bud_pair,0.7724,"88.00,64.00,162.00,106.00","82.00,67.00,163.00,102.00",3108.00,2835.00,1.0963,
60min_after_washout_frame_003,class_mismatch_box_match,rule_30,manual_38,early_bud_pair,mother_bud_pair,0.6931,"68.00,10.00,124.00,48.00","61.00,7.00,131.00,45.00",2128.00,2660.00,0.8000,
60min_after_washout_frame_003,class_mismatch_box_match,rule_28,manual_41,early_bud_pair,mother_bud_pair,0.6396,"50.00,106.00,118.00,148.00","39.00,105.00,134.00,152.00",2856.00,4465.00,0.6396,
60min_after_washout_frame_003,same_class_box_match,rule_25,manual_39,mother_bud_pair,mother_bud_pair,0.6305,"103.00,41.00,174.00,79.00","105.00,43.00,168.00,70.00",2698.00,1701.00,1.5861,
60min_after_washout_frame_003,rule_only_or_bad_box,rule_26,,mother_bud_pair,,,"107.00,0.00,180.00,46.00",,3358.00,,,No manual box matched this rule box at IoU threshold.
60min_after_washout_frame_003,rule_only_or_bad_box,rule_27,,mother_bud_pair,,,"188.00,0.00,252.00,54.00",,3456.00,,,No manual box matched this rule box at IoU threshold.
60min_after_washout_frame_003,rule_only_or_bad_box,rule_29,,early_bud_pair,,,"160.00,231.00,235.00,255.00",,1800.00,,,No manual box matched this rule box at IoU threshold.
