image_id,match_type,rule_id,manual_id,rule_class,manual_class,iou,rule_box,manual_box,rule_area_px2,manual_area_px2,area_ratio_rule_over_manual
45min_after_washout_frame_003,same_class_iou_match,rule_6,manual_5,early_bud_pair,early_bud_pair,0.6804,"73.00,72.00,135.00,136.00","77.60,73.40,122.60,133.40",3968.00,2700.00,1.4696
45min_after_washout_frame_003,same_class_iou_match,rule_4,manual_6,early_bud_pair,early_bud_pair,0.6578,"140.00,53.00,186.00,117.00","144.60,57.40,187.60,105.40",2944.00,2064.00,1.4264
45min_after_washout_frame_006,same_class_iou_match,rule_14,manual_15,early_bud_pair,early_bud_pair,0.6760,"119.00,46.00,169.00,91.00","123.60,50.40,162.60,89.40",2250.00,1521.00,1.4793
45min_after_washout_frame_010,same_class_iou_match,rule_19,manual_20,early_bud_pair,early_bud_pair,0.7914,"157.00,46.00,219.00,91.00","157.60,36.40,217.60,90.40",2790.00,3240.00,0.8611
45min_after_washout_frame_010,same_class_iou_match,rule_18,manual_22,early_bud_pair,early_bud_pair,0.7503,"118.00,106.00,157.00,169.00","113.60,104.40,152.60,166.40",2457.00,2418.00,1.0161
45min_after_washout_frame_010,same_class_iou_match,rule_17,manual_21,early_bud_pair,early_bud_pair,0.6844,"57.00,13.00,104.00,66.00","51.60,0.40,104.60,63.40",2491.00,3339.00,0.7460
45min_after_washout_frame_004,same_class_iou_match,rule_9,manual_28,early_bud_pair,early_bud_pair,0.8732,"67.00,84.00,121.00,145.00","65.60,80.40,118.60,144.40",3294.00,3392.00,0.9711
45min_after_washout_frame_004,same_class_iou_match,rule_10,manual_30,early_bud_pair,early_bud_pair,0.7526,"151.00,68.00,221.00,115.00","158.60,63.40,220.60,111.40",3290.00,2976.00,1.1055
60min_after_washout_frame_014,same_class_iou_match,rule_28,manual_32,mother_bud_pair,mother_bud_pair,0.8289,"93.00,113.00,169.00,160.00","94.60,114.40,166.60,165.40",3572.00,3672.00,0.9728
60min_after_washout_frame_014,same_class_iou_match,rule_30,manual_36,mother_bud_pair,mother_bud_pair,0.7867,"154.00,56.00,192.00,129.00","156.60,52.40,192.60,121.40",2774.00,2484.00,1.1167
