image_id,comparison_type,rule_id,manual_id,rule_class,manual_class,iou,rule_box,manual_box,rule_area_px2,manual_area_px2,area_ratio_rule_over_manual,notes
45min_after_washout_frame_003,same_class_box_match,rule_6,manual_5,early_bud_pair,early_bud_pair,0.6804,"73.00,72.00,135.00,136.00","77.60,73.40,122.60,133.40",3968.00,2700.00,1.4696,
45min_after_washout_frame_003,same_class_box_match,rule_4,manual_6,early_bud_pair,early_bud_pair,0.6578,"140.00,53.00,186.00,117.00","144.60,57.40,187.60,105.40",2944.00,2064.00,1.4264,
45min_after_washout_frame_003,rule_only_or_bad_box,rule_1,,mother_bud_pair,,,"153.00,0.00,240.00,34.00",,2958.00,,,No manual box matched this rule box at IoU threshold.
45min_after_washout_frame_003,rule_only_or_bad_box,rule_2,,mother_bud_pair,,,"91.00,93.00,176.00,152.00",,5015.00,,,No manual box matched this rule box at IoU threshold.
45min_after_washout_frame_003,rule_only_or_bad_box,rule_3,,mother_bud_pair,,,"82.00,157.00,143.00,209.00",,3172.00,,,No manual box matched this rule box at IoU threshold.
45min_after_washout_frame_003,rule_only_or_bad_box,rule_5,,early_bud_pair,,,"119.00,19.00,166.00,73.00",,2538.00,,,No manual box matched this rule box at IoU threshold.
45min_after_washout_frame_003,rule_only_or_bad_box,rule_7,,single_cell,,,"237.00,18.00,255.00,49.00",,558.00,,,No manual box matched this rule box at IoU threshold.
45min_after_washout_frame_003,manual_only_missed_by_rule,,manual_2,,single_cell,,,"10.60,207.40,57.60,251.40",,2068.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_003,manual_only_missed_by_rule,,manual_3,,single_cell,,,"92.60,110.40,120.60,143.40",,924.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_003,manual_only_missed_by_rule,,manual_4,,single_cell,,,"132.60,130.40,166.60,165.40",,1190.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_003,manual_only_missed_by_rule,,manual_7,,early_bud_pair,,,"81.60,170.40,118.60,217.40",,1739.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_003,manual_only_missed_by_rule,,manual_8,,early_bud_pair,,,"104.60,153.40,135.60,206.40",,1643.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_003,manual_only_missed_by_rule,,manual_9,,early_bud_pair,,,"125.60,156.40,195.60,199.40",,3010.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_003,manual_only_missed_by_rule,,manual_10,,single_cell,,,"111.60,38.40,151.60,69.40",,1240.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_003,manual_only_missed_by_rule,,manual_11,,early_bud_pair,,,"132.60,19.40,168.60,48.40",,1044.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_006,same_class_box_match,rule_14,manual_15,early_bud_pair,early_bud_pair,0.6760,"119.00,46.00,169.00,91.00","123.60,50.40,162.60,89.40",2250.00,1521.00,1.4793,
45min_after_washout_frame_006,class_mismatch_box_match,rule_12,manual_14,mother_bud_pair,early_bud_pair,0.6076,"106.00,92.00,183.00,166.00","105.60,81.40,159.60,163.40",5698.00,4428.00,1.2868,
45min_after_washout_frame_006,rule_only_or_bad_box,rule_11,,mother_bud_pair,,,"169.00,121.00,255.00,180.00",,5074.00,,,No manual box matched this rule box at IoU threshold.
45min_after_washout_frame_006,rule_only_or_bad_box,rule_13,,mother_bud_pair,,,"66.00,42.00,124.00,113.00",,4118.00,,,No manual box matched this rule box at IoU threshold.
45min_after_washout_frame_006,rule_only_or_bad_box,rule_15,,single_cell,,,"211.00,89.00,252.00,138.00",,2009.00,,,No manual box matched this rule box at IoU threshold.
45min_after_washout_frame_006,manual_only_missed_by_rule,,manual_12,,early_bud_pair,,,"62.60,40.40,101.60,77.40",,1443.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_006,manual_only_missed_by_rule,,manual_13,,early_bud_pair,,,"69.60,67.40,118.60,128.40",,2989.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_006,manual_only_missed_by_rule,,manual_16,,single_cell,,,"167.60,132.40,203.60,180.40",,1728.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_006,manual_only_missed_by_rule,,manual_17,,single_cell,,,"146.60,109.40,181.60,156.40",,1645.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_006,manual_only_missed_by_rule,,manual_18,,early_bud_pair,,,"197.60,93.40,254.60,165.40",,4104.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_006,manual_only_missed_by_rule,,manual_19,,single_cell,,,"94.60,39.40,131.60,74.40",,1295.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_010,same_class_box_match,rule_19,manual_20,early_bud_pair,early_bud_pair,0.7914,"157.00,46.00,219.00,91.00","157.60,36.40,217.60,90.40",2790.00,3240.00,0.8611,
45min_after_washout_frame_010,same_class_box_match,rule_18,manual_22,early_bud_pair,early_bud_pair,0.7503,"118.00,106.00,157.00,169.00","113.60,104.40,152.60,166.40",2457.00,2418.00,1.0161,
45min_after_washout_frame_010,class_mismatch_box_match,rule_16,manual_23,mother_bud_pair,early_bud_pair,0.6905,"141.00,132.00,200.00,195.00","140.60,142.40,191.60,193.40",3717.00,2601.00,1.4291,
45min_after_washout_frame_010,same_class_box_match,rule_17,manual_21,early_bud_pair,early_bud_pair,0.6844,"57.00,13.00,104.00,66.00","51.60,0.40,104.60,63.40",2491.00,3339.00,0.7460,
45min_after_washout_frame_010,manual_only_missed_by_rule,,manual_24,,single_cell,,,"146.60,112.40,176.60,146.40",,1020.00,,No rule box matched this manual box at IoU threshold.
